timestamp,consumption,temperature,day_of_week,hour_of_day
2022-01-01 00:00:00,1049.6714153011233,24.857061788361797,5,0
2022-01-01 01:00:00,1037.9373789033857,13.530879482016495,5,1
2022-01-01 02:00:00,1164.7688538100692,14.07657933313899,5,2
2022-01-01 03:00:00,1293.724341878112,22.91606683164194,5,3
2022-01-01 04:00:00,1149.789743284554,19.707002067612503,5,4
2022-01-01 05:00:00,1169.7714695628956,17.760003933191566,5,5
2022-01-01 06:00:00,1357.9212815507392,25.121174802934796,5,6
2022-01-01 07:00:00,1269.9286381731044,20.987504801269075,5,7
2022-01-01 08:00:00,1126.2576421633926,20.319667307303874,5,8
2022-01-01 09:00:00,1195.677360595906,23.963696029144135,5,9
2022-01-01 10:00:00,1053.6582307187537,18.196180269953455,5,10
2022-01-01 11:00:00,1005.1908336634784,27.921492554436686,5,11
2022-01-01 12:00:00,1024.1962271566035,16.145831852721845,5,12
2022-01-01 13:00:00,756.9081665137161,23.37788759813075,5,13
2022-01-01 14:00:00,727.5082167486967,27.269578709283554,5,14
2022-01-01 15:00:00,802.3498908385933,13.221109267528613,5,15
2022-01-01 16:00:00,725.5118072096699,18.3980829771826,5,16
2022-01-01 17:00:00,838.2395680017137,25.832967904389548,5,17
2022-01-01 18:00:00,709.197592447879,25.915325699405216,5,18
2022-01-01 19:00:00,665.5844646086572,19.278796913178933,5,19
2022-01-01 20:00:00,973.3597961352677,16.4700913309979,5,20
2022-01-01 21:00:00,836.001013714037,24.93029772150045,5,21
2022-01-01 22:00:00,906.7528204687923,26.07553585573187,5,22
2022-01-01 23:00:00,805.76137235815,14.341645252062285,5,23
2022-01-02 00:00:00,945.5617275474817,14.152565316726445,6,0
2022-01-02 01:00:00,1062.8560679914908,21.30558844985462,6,1
2022-01-02 02:00:00,984.9006422577697,23.333279593214108,6,2
2022-01-02 03:00:00,1178.9911580718767,18.698302290117766,6,3
2022-01-02 04:00:00,1113.141211765007,23.59728800675419,6,4
2022-01-02 05:00:00,1164.015790278486,16.657306959916678,6,5
2022-01-02 06:00:00,1139.8293387770602,9.641692978993543,6,6
2022-01-02 07:00:00,1378.4129837087075,18.102826482266188,6,7
2022-01-02 08:00:00,1171.8553582830943,20.54566333168081,6,8
2022-01-02 09:00:00,1035.6502633417194,18.857473436749277,6,9
2022-01-02 10:00:00,1182.254491210319,14.450827433291508,6,10
2022-01-02 11:00:00,929.6794440234019,11.172769262104396,6,11
2022-01-02 12:00:00,1020.8863595004757,17.68774038043184,6,12
2022-01-02 13:00:00,752.2691785915184,24.753633388467378,6,13
2022-01-02 14:00:00,767.1813951101572,26.553511718720145,6,14
2022-01-02 15:00:00,878.2647673496031,26.218261293574148,6,15
2022-01-02 16:00:00,900.6415772426533,16.207316404477723,6,16
2022-01-02 17:00:00,823.9516628611835,14.525502021827219,6,17
2022-01-02 18:00:00,788.435171761176,22.78437612336856,6,18
2022-01-02 19:00:00,776.7044651832575,23.48387235999187,6,19
2022-01-02 20:00:00,678.9427202063695,22.31638942289272,6,20
